State,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Southern,Hambantota,2020,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2021,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2022,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2023,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2024,,,,,,,,,,,,,,,,,,,,,,,,
Northern,Jaffna,2020,0.0,0.0,0.0,0.0,0.0,1.0,7.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.13773245310055354
Northern,Jaffna,2021,1.0,1.0,0.0,0.0,0.0,0.0,13.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16210886566479546
Northern,Jaffna,2022,0.0,0.0,0.0,1.0,1.0,1.0,14.0,29.0,0.0,0.0,6.0,0.0,3.0,0.0,17.0,23.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.31064633910364137
Northern,Jaffna,2023,1.0,,1.0,,1.0,,6.0,36.0,,,6.0,,2.0,,23.0,22.0,,,,,2.0,,,0.4513475956532142
Northern,Jaffna,2024,0.0,1.0,0.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,12.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.17505416229528395
Western,Kalutara,2020,1.0,1.0,1.0,0.0,3.0,0.0,19.0,58.0,0.0,0.0,17.0,1.0,4.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573427179175577
Western,Kalutara,2021,1.0,0.0,0.0,0.0,0.0,4.0,22.0,64.0,0.0,0.0,27.0,2.0,2.0,0.0,24.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.2638925611699842
Western,Kalutara,2022,0.0,0.0,0.0,0.0,0.0,2.0,22.0,56.0,0.0,0.0,9.0,0.0,2.0,0.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16734876288164924
Western,Kalutara,2023,1.0,,,,,2.0,24.0,49.0,,,24.0,,3.0,,47.0,5.0,,,,,,,,0.5991728676997972
Western,Kalutara,2024,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0,8.0,0.0,3.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278292406721194
Central,Kandy,2020,1.0,0.0,4.0,0.0,1.0,2.0,18.0,57.0,0.0,0.0,17.0,4.0,1.0,0.0,29.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3244246198052888
Central,Kandy,2021,0.0,0.0,2.0,0.0,1.0,1.0,24.0,37.0,0.0,0.0,10.0,5.0,1.0,0.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23771757473004537
Central,Kandy,2022,0.0,0.0,2.0,0.0,1.0,0.0,18.0,36.0,0.0,0.0,17.0,1.0,2.0,0.0,44.0,24.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.28187444667617473
Central,Kandy,2023,,,3.0,,1.0,2.0,17.0,41.0,,,24.0,1.0,4.0,,51.0,31.0,2.0,2.0,,,1.0,,,0.6014868386786012
Central,Kandy,2024,0.0,0.0,1.0,0.0,0.0,1.0,14.0,23.0,0.0,0.0,6.0,1.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18555396190646642
Sabaragamuwa,Kegalle,2020,0.0,0.0,2.0,0.0,0.0,1.0,19.0,37.0,0.0,0.0,10.0,1.0,4.0,0.0,37.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.2699832940850906
Sabaragamuwa,Kegalle,2021,0.0,0.0,1.0,0.0,2.0,0.0,18.0,28.0,0.0,0.0,8.0,3.0,3.0,0.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2169792932961278
Sabaragamuwa,Kegalle,2022,0.0,0.0,1.0,0.0,0.0,3.0,13.0,32.0,0.0,0.0,12.0,0.0,0.0,0.0,76.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22563124434954282
Sabaragamuwa,Kegalle,2023,,,3.0,,,1.0,8.0,26.0,,,15.0,,3.0,,99.0,15.0,,,,,,2.0,,0.6342120704624378
Sabaragamuwa,Kegalle,2024,0.0,0.0,2.0,0.0,0.0,1.0,7.0,29.0,0.0,0.0,9.0,0.0,3.0,0.0,57.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895146956623023
Northern,Kilinochchi,2020,0.0,0.0,0.0,0.0,1.0,1.0,6.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14259626548840837
Northern,Kilinochchi,2021,3.0,0.0,0.0,0.0,0.0,1.0,7.0,27.0,0.0,0.0,3.0,0.0,3.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16492353593269993
Northern,Kilinochchi,2022,0.0,1.0,0.0,0.0,0.0,0.0,7.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102809722678595
Northern,Kilinochchi,2023,1.0,,1.0,,,,6.0,17.0,,,1.0,,1.0,,7.0,153.0,,,,,,,,0.4280907319319087
Northern,Kilinochchi,2024,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07701827279858196
