Country,state,district,year,pop_density
India,Jharkhand,Dhanbad,2005,1293.81
India,Jharkhand,Dumka,2005,319.75
India,Jharkhand,Garhwa,2005,312.39
India,Jharkhand,Giridih,2005,438.61
India,Jharkhand,Godda,2005,509.37
India,Jharkhand,Gumla,2005,181.04
India,Jharkhand,Hazaribagh,2005,354.7
India,Jharkhand,Jamtara,2005,375.4
India,Jharkhand,Khunti,2005,181.17
India,Jharkhand,Kodarma,2005,374.71
India,Jharkhand,Latehar,2005,159.26
India,Jharkhand,Lohardaga,2005,278.91
India,Jharkhand,Pakur,2005,396.81
India,Jharkhand,Palamu,2005,385.73
India,Jharkhand,PashchimiSinghbhum,2005,193.4
India,Jharkhand,PurbiSinghbhum,2005,669.86
India,Jharkhand,Ramgarh,2005,669.61
India,Jharkhand,Ranchi,2005,548.53
India,Jharkhand,Sahibganj,2005,660.25
India,Jharkhand,Saraikela-kharsawan,2005,290.17
India,Jharkhand,Simdega,2005,149.11
India,Karnataka,Bagalkot,2005,269.94
India,Karnataka,Bangalore,2005,3648.92
India,Karnataka,BangaloreRural,2005,433.15
India,Karnataka,Belgaum,2005,346.77
India,Karnataka,Bellary,2005,274.28
India,Karnataka,Bidar,2005,300.24
India,Karnataka,Bijapur,2005,24.04
India,Karnataka,Bijapur,2005,197.62
India,Karnataka,Chamrajnagar,2005,182.97
India,Karnataka,Chikballapura,2005,281.88
India,Karnataka,Chikmagalur,2005,168.12
India,Karnataka,Chitradurga,2005,194.33
India,Karnataka,DakshinaKannada,2005,458.36
India,Karnataka,Davanagere,2005,346.21
India,Karnataka,Dharwad,2005,415.79
India,Karnataka,Gadag,2005,241.12
India,Karnataka,Gulbarga,2005,213.24
India,Karnataka,Hassan,2005,268.76
India,Karnataka,Haveri,2005,303.45
India,Karnataka,Kodagu,2005,153.01
India,Karnataka,Kolar,2005,373.87
India,Karnataka,Koppal,2005,233.35
India,Karnataka,Mandya,2005,347.6
India,Karnataka,Mysore,2005,480.27
India,Karnataka,Raichur,2005,217.36
India,Karnataka,Ramanagara,2005,318.5
India,Karnataka,Shimoga,2005,188.55
India,Karnataka,Tumkur,2005,258.86
India,Karnataka,Udupi,2005,300.71
India,Karnataka,UttaraKannada,2005,144.38
India,Karnataka,Yadgir,2005,202.52
India,Kerala,Alappuzha,2005,1792.33
India,Kerala,Ernakulam,2005,1479.96
India,Kerala,Idukki,2005,234.02
India,Kerala,Kannur,2005,912.56
India,Kerala,Kasaragod,2005,619.2
India,Kerala,Kollam,2005,1068.77
India,Kerala,Kottayam,2005,960.35
India,Kerala,Kozhikode,2005,1400.86
India,Kerala,Malappuram,2005,1138.39
India,Kerala,Palakkad,2005,635.5
India,Kerala,Pathanamthitta,2005,566
India,Kerala,Thiruvananthapuram,2005,1638.45
India,Kerala,Thrissur,2005,1094.33
India,Kerala,Wayanad,2005,396.96
India,Lakshadweep,Lakshadweep,2005,1845.73
India,MadhyaPradesh,AgarMalwa,2005,196.29
India,MadhyaPradesh,Alirajpur,2005,212.93
India,MadhyaPradesh,Anuppur,2005,302.89
India,MadhyaPradesh,Ashoknagar,2005,173.32
India,MadhyaPradesh,Balaghat,2005,174.88
India,MadhyaPradesh,Barwani,2005,237.73
India,MadhyaPradesh,Betul,2005,153.72
India,MadhyaPradesh,Bhind,2005,354.92
India,MadhyaPradesh,Bhopal,2005,777.95
India,MadhyaPradesh,Burhanpur,2005,223.82
India,MadhyaPradesh,Chhatarpur,2005,190.87
India,MadhyaPradesh,Chhindwara,2005,174.09
India,MadhyaPradesh,Damoh,2005,163.96
India,MadhyaPradesh,Datia,2005,291.1
India,MadhyaPradesh,Dewas,2005,208.27
India,MadhyaPradesh,Dhar,2005,249
India,MadhyaPradesh,Dindori,2005,120.36
India,MadhyaPradesh,EastNimar,2005,159.17
India,MadhyaPradesh,Guna,2005,171.44
India,MadhyaPradesh,Gwalior,2005,411.03
India,MadhyaPradesh,Harda,2005,169.34
India,MadhyaPradesh,Hoshangabad,2005,182.55
India,MadhyaPradesh,Indore,2005,732.08
India,MadhyaPradesh,Jabalpur,2005,516.18
India,MadhyaPradesh,Jhabua,2005,257.47
India,MadhyaPradesh,Katni,2005,252.71
India,MadhyaPradesh,Mandla,2005,127.27
India,MadhyaPradesh,Mandsaur,2005,222.61
India,MadhyaPradesh,Morena,2005,364.36
India,MadhyaPradesh,Narsimhapur,2005,214.05
India,MadhyaPradesh,Neemuch,2005,177.7
India,MadhyaPradesh,Panna,2005,139.45
India,MadhyaPradesh,Raisen,2005,148.06
India,MadhyaPradesh,Rajgarh,2005,222.89
India,MadhyaPradesh,Ratlam,2005,277.3
India,MadhyaPradesh,Rewa,2005,356.42
India,MadhyaPradesh,Sagar,2005,223.77
India,MadhyaPradesh,Satna,2005,283.16
India,MadhyaPradesh,Sehore,2005,185.04
India,MadhyaPradesh,Seoni,2005,149.53
India,MadhyaPradesh,Shahdol,2005,150
India,MadhyaPradesh,Shajapur,2005,261.6
India,MadhyaPradesh,Sheopur,2005,104.24
India,MadhyaPradesh,Shivpuri,2005,152.53
India,MadhyaPradesh,Sidhi,2005,216.04
India,MadhyaPradesh,Singrauli,2005,186
India,MadhyaPradesh,Tikamgarh,2005,264.87
India,MadhyaPradesh,Ujjain,2005,311.97
India,MadhyaPradesh,Umaria,2005,128.48
India,MadhyaPradesh,Vidisha,2005,186.88
India,MadhyaPradesh,WestNimar,2005,209.76
India,Maharashtra,Ahmadnagar,2005,265.66
India,Maharashtra,Akola,2005,329.42
India,Maharashtra,Amravati,2005,234.99
India,Maharashtra,Aurangabad,2005,232.45
India,Maharashtra,Aurangabad,2005,326.91
India,Maharashtra,Bhandara,2005,290.83
India,Maharashtra,Bid,2005,223.61
India,Maharashtra,Buldana,2005,256.56
India,Maharashtra,Chandrapur,2005,198.52
India,Maharashtra,Dhule,2005,267.56
India,Maharashtra,Garhchiroli,2005,74.59
India,Maharashtra,Gondiya,2005,263.15
India,Maharashtra,Hingoli,2005,237.11
India,Maharashtra,Jalgaon,2005,345.7
India,Maharashtra,Jalna,2005,233.71
India,Maharashtra,Kolhapur,2005,475.26
India,Maharashtra,Latur,2005,317.44
India,Maharashtra,MumbaiCity,2005,49465.47
India,Maharashtra,MumbaiSuburban,2005,23901.88
India,Maharashtra,Nagpur,2005,451.64
India,Maharashtra,Nanded,2005,303.3
India,Maharashtra,Nandurbar,2005,251.56
India,Maharashtra,Nashik,2005,361.18
India,Maharashtra,Osmanabad,2005,222.12
India,Maharashtra,Palghar,2005,478.06
India,Maharashtra,Parbhani,2005,267.08
India,Maharashtra,Pune,2005,538.26
India,Maharashtra,Raigarh,2005,189.37
India,Maharashtra,Raigarh,2005,341
India,Maharashtra,Ratnagiri,2005,204.45
India,Maharashtra,Sangli,2005,343.46
India,Maharashtra,Satara,2005,284.37
India,Maharashtra,Sindhudurg,2005,171.65
India,Maharashtra,Solapur,2005,283.48
India,Maharashtra,Thane,2005,1478.44
India,Maharashtra,Wardha,2005,210.68
India,Maharashtra,Washim,2005,218.39
India,Maharashtra,Yavatmal,2005,199.63
India,Manipur,Bishnupur,2005,544.08
India,Manipur,Chandel,2005,40.71
India,Manipur,Churachandpur,2005,51.84
India,Manipur,ImphalEast,2005,547.95
India,Manipur,ImphalWest,2005,1051.12
India,Manipur,Senapati,2005,90.04
India,Manipur,Tamenglong,2005,30.9
India,Manipur,Thoubal,2005,664.22
India,Manipur,Ukhrul,2005,35.68
India,Meghalaya,EastGaroHills,2005,82.93
India,Meghalaya,EastKhasiHills,2005,264.85
India,Meghalaya,JaintiaHills,2005,94.5
India,Meghalaya,NorthGaroHills,2005,104.3
India,Meghalaya,RiBhoi,2005,92.14
India,Meghalaya,SouthGaroHills,2005,67.36
India,Meghalaya,SouthWestGaroHills,2005,303.68
India,Meghalaya,SouthWestKhasiHills,2005,69.8
India,Meghalaya,WestGaroHills,2005,177.45
India,Meghalaya,WestKhasiHills,2005,60.54
India,Mizoram,Aizawl,2005,104.68
India,Mizoram,Champhai,2005,33.11
India,Mizoram,Kolasib,2005,73.09
India,Mizoram,Lawangtlai,2005,44.04
India,Mizoram,Lunglei,2005,33.24
India,Mizoram,Mamit,2005,25.4
India,Mizoram,Saiha,2005,32.8
India,Mizoram,Serchhip,2005,42.12
India,Nagaland,Dimapur,2005,567.91
India,Nagaland,Kiphire,2005,83.44
India,Nagaland,Kohima,2005,179.27
India,Nagaland,Longleng,2005,145.32
India,Nagaland,Mokokchung,2005,140.87
India,Nagaland,Mon,2005,112.52
India,Nagaland,Peren,2005,54.51
India,Nagaland,Phek,2005,77.84
India,Nagaland,Tuensang,2005,88.87
India,Nagaland,Wokha,2005,85.34
India,Nagaland,Zunheboto,2005,96.1
India,NCTofDelhi,West,2005,10074.74
India,Odisha,Anugul,2005,191.53
India,Odisha,Balangir,2005,239.99
India,Odisha,Baleshwar,2005,575.54
India,Odisha,Bargarh,2005,235.79
India,Odisha,Bauda,2005,139.92
India,Odisha,Bhadrak,2005,565.08
India,Odisha,Cuttack,2005,711.19
India,Odisha,Debagarh,2005,109.31
India,Odisha,Dhenkanal,2005,273.7
India,Odisha,Gajapati,2005,147.35
India,Odisha,Ganjam,2005,412.43
India,Odisha,Jagatsinghapur,2005,691.33
India,Odisha,Jajapur,2005,633.58
India,Odisha,Jharsuguda,2005,263.94
India,Odisha,Kalahandi,2005,192.13
India,Odisha,Kandhamal,2005,89.21
India,Odisha,Kendrapara,2005,610.53
India,Odisha,Kendujhar,2005,213.17
India,Odisha,Khordha,2005,652.35
India,Odisha,Koraput,2005,155.63
India,Odisha,Malkangiri,2005,100.91
India,Odisha,Mayurbhanj,2005,239.09
India,Odisha,Nabarangapur,2005,214.29
India,Odisha,Nayagarh,2005,237.64
India,Odisha,Nuapada,2005,156.35
India,Odisha,Puri,2005,456.85
India,Odisha,Rayagada,2005,130.09
India,Odisha,Sambalpur,2005,170.12
India,Odisha,Subarnapur,2005,246.46
India,Odisha,Sundargarh,2005,206.41
India,Puducherry,Karaikal,2005,1148.2
India,Puducherry,Mahe,2005,1066.68
India,Puducherry,Puducherry,2005,3002.08
India,Puducherry,Yanam,2005,825.08
India,Punjab,Amritsar,2005,874.68
India,Punjab,Barnala,2005,415.13
India,Punjab,Bathinda,2005,418.07
India,Punjab,Faridkot,2005,403.25
India,Punjab,FatehgarhSahib,2005,487.73
India,Punjab,Fazilka,2005,340.6
India,Punjab,Firozpur,2005,369.1
India,Punjab,Gurdaspur,2005,641.48
India,Punjab,Hoshiarpur,2005,485.43
India,Punjab,Jalandhar,2005,841.51
India,Punjab,Kapurthala,2005,460.05
India,Punjab,Ludhiana,2005,910.85
India,Punjab,Mansa,2005,303.54
India,Punjab,Moga,2005,414.81
India,Punjab,Muktsar,2005,356.78
India,Punjab,Pathankot,2005,663.69
India,Punjab,Patiala,2005,552.27
India,Punjab,Rupnagar,2005,476.29
India,Punjab,SahibzadaAjitSinghNagar,2005,1036.02
India,Punjab,Sangrur,2005,447.11
India,Punjab,ShahidBhagatSinghNagar,2005,510.54
India,Punjab,TarnTaran,2005,433.01
India,Rajasthan,Ajmer,2005,284
India,Rajasthan,Alwar,2005,416.57
India,Rajasthan,Banswara,2005,368.62
